ART-500,Agile Team 1000 6,Dalvin Cook,6,DEVELOPER
ART-500,Agile Team 1000 6,Stefon Diggs,7,DEVELOPER
ART-500,Agile Team 1000 6,Pat Elflein,8,DEVELOPER
ART-501,Agile Team 1000 7,Adam Thielen,1,PO
ART-501,Agile Team 1000 7,Kirk Cousins,2,SM
ART-501,Agile Team 1000 7,Anthony Barr,3,DEVELOPER
ART-501,Agile Team 1000 7,Harrison Smith,4,DEVELOPER
ART-501,Agile Team 1000 7,Chad Beebe,5,DEVELOPER
ART-501,Agile Team 1000 7,Dalvin Cook,6,DEVELOPER
ART-501,Agile Team 1000 7,Stefon Diggs,7,DEVELOPER
ART-501,Agile Team 1000 7,Pat Elflein,8,DEVELOPER
ART-502,Agile Team 1000 8,Adam Thielen,1,PO
ART-502,Agile Team 1000 8,Kirk Cousins,2,SM
ART-502,Agile Team 1000 8,Anthony Barr,3,DEVELOPER
ART-502,Agile Team 1000 8,Harrison Smith,4,DEVELOPER
ART-502,Agile Team 1000 8,Chad Beebe,5,DEVELOPER
ART-502,Agile Team 1000 8,Dalvin Cook,6,DEVELOPER
ART-502,Agile Team 1000 8,Stefon Diggs,7,DEVELOPER
ART-502,Agile Team 1000 8,Pat Elflein,8,DEVELOPER
ART-503,Agile Team 1000 9,Adam Thielen,1,PO
ART-503,Agile Team 1000 9,Kirk Cousins,2,SM
ART-503,Agile Team 1000 9,Anthony Barr,3,DEVELOPER
ART-503,Agile Team 1000 9,Harrison Smith,4,DEVELOPER
ART-503,Agile Team 1000 9,Chad Beebe,5,DEVELOPER
ART-503,Agile Team 1000 9,Dalvin Cook,6,DEVELOPER
ART-503,Agile Team 1000 9,Stefon Diggs,7,DEVELOPER
ART-503,Agile Team 1000 9,Pat Elflein,8,DEVELOPER
